Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,DNS_Record,Web_Traffic,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards,Label
ww82.0.fr,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0-one.fr,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
00.fr,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
00.fr,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
00000.fr,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
00000.fr,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
0001.fr,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
001-traduction.fr,0,0,1,4,0,0,0,1,0,0,0,0,0,0,1,0,0
001-traductions.fr,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
