Url,Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,DNS_Record,Web_Traffic,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards,Label
https://123-zo.vn/,123-zo.vn,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0
https://123456789.vn/,123456789.vn,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0
https://www.123456789.vn/0967227889,123456789.vn,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0
https://123angels.vn/,123angels.vn,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0
https://123b.vn/,123b.vn,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0
https://123batdongsan.vn/,123batdongsan.vn,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0
https://123choi.vn/,123choi.vn,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0
http://123chon.vn/,123chon.vn,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0
https://123chothue.vn/account/register,123chothue.vn,0,0,0,2,0,0,0,0,0,1,1,1,1,1,1,1,0
https://123click.vn/robots.txt,123click.vn,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0
https://123code.vn/,123code.vn,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0
https://123coffee.vn/,123coffee.vn,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0
https://123corp.vn/,123corp.vn,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0
http://bdsnamhung.demo.123corp.vn/du-an/pax-residence-165.html,bdsnamhung.demo.123corp.vn,0,0,1,2,0,0,0,0,0,1,1,1,0,0,1,0,0
http://donatech.demo.123corp.vn/gioi-thieu/thu-ngo-22.html,donatech.demo.123corp.vn,0,0,1,2,0,0,0,0,0,1,1,1,0,0,1,0,0
http://thietbidien.demo.123corp.vn/,thietbidien.demo.123corp.vn,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0
https://web.demo.123corp.vn/robots.txt,web.demo.123corp.vn,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0
http://thietbitinhoc.123corp.vn/robots.txt,thietbitinhoc.123corp.vn,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0
http://x.123corp.vn/,x.123corp.vn,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0
https://xongpha.123corp.vn/,xongpha.123corp.vn,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0
https://123di.vn/ao-ba-om-la-khu-nghi-duong-vui-choi-cuoi-tuan-rat-dep-o-tra-vinh/,123di.vn,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0
https://123event.vn/,123event.vn,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0
https://123farm.vn/,123farm.vn,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0
https://123flower.vn,123flower.vn,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0
https://www.123flower.vn/,123flower.vn,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0
https://123game.vn/,123game.vn,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0
http://www.123giare.vn/,123giare.vn,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0
