Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,DNS_Record,Web_Traffic,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards,Label
0-1pro.us,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0
0-us.us,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0
0000.us,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0
000free.us,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
hnuunkc.000free.us,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0
ww17.hnuunkc.000free.us,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
osopupow.000free.us,0,0,1,2,0,0,0,0,0,1,0,0,0,0,1,0,0
sadiretdzza.000free.us,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
sipoqu.000free.us,0,0,1,2,0,0,0,0,0,1,0,0,0,0,1,0,0
thehollywoodnews.000free.us,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
wechno.000free.us,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
000x.us,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
0024.us,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
ww12.006.us,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0
007ba7.us,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0
00e4.us,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0
00xs.us,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0
0102.us,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
0123-movies.us,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0
0123movies.us,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0
018.us,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0
ww1.018.us,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0
ww12.018.us,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0
028.us,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
029.us,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
02vip.us,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0
0367b.us,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
03ift.us,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
04a.us,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
fcleaningwy0ngg.04fordparts.us,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0
051.us,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
mail.0510.us,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
0554.us,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
06a.us,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0
074.us,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
082.us,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
08473.us,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
085.us,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
085.us,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
goroskoppolune01.0909.us,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
091.us,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
0c3k2.us,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
0down.us,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0
kissme.0down.us,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0
ww1.0down.us,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0
ww12.0down.us,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
0fees.us,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
19rsn007.0fees.us,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0
battlenkang.0fees.us,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
bestringtonesnet.0fees.us,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
cabinetshops.0fees.us,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
climateunexplaine.0fees.us,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
duhocuc.0fees.us,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0
ealebje.0fees.us,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
earerti.0fees.us,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
eritad.0fees.us,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
fulxie.0fees.us,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
gingerjuicers.0fees.us,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
gnaphlaro.0fees.us,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
howtosshops.0fees.us,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
indodangdut.0fees.us,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
lbgames.0fees.us,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
malcolmkenworthy.0fees.us,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0
nintendostore.0fees.us,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
rajuahmed.0fees.us,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
ratcuvol.0fees.us,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
ropodo.0fees.us,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
sansara6.0fees.us,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
sg-climate1.0fees.us,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
sleestak.0fees.us,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
sohbetodalari.0fees.us,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
sugar.0fees.us,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
weatherssales.0fees.us,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
wisegthie.0fees.us,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
0gb.us,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
ww25.0gb.us,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0
0h8.us,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
0h9jq.us,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0
0i0.us,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
0it.us,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
0j0.us,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0
0m3g4.us,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0
0mg.us,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
0o0.us,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
cs1.0ps.us,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
dv1.0ps.us,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
op.0ps.us,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0
op1.0ps.us,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
op2.0ps.us,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
ts1.0ps.us,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0
0q3fq.us,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0
0qd.us,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0
0qr.us,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
su.0v0.us,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0
0x18.us,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
1-2-access.us,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0
store.1-2-access.us,0,0,1,2,0,0,0,1,1,1,1,1,1,1,1,1,0
1-baccarat.us,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0
1-internet-casino.us,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0
1-poker.us,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0
1-roulette.us,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0
1-slot.us,0,0,0,3,0,0,0,1,1,1,1,1,1,1,1,1,0
ww1.1-texas-holdem.us,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,0
ww12.1-texas-holdem.us,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0
100.us,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
100-percent.us,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0
1000museummiami.us,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
1000museummiami.us,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
100clubcolorado.us,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
100days.us,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0
mail.100days.us,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
100daysof.us,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0
100fitness.us,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
100franklinst.us,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
100franklinstreet.us,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0
100franquicias.us,0,0,1,2,0,0,0,0,1,1,1,1,1,1,1,1,0
100ideasok.us,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
100ideasok.us,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0
100km.us,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
100marathonclub.us,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0
100marathonclub.us,0,0,0,2,0,0,0,0,1,1,1,1,1,1,1,1,0
100media.us,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
100mi.us,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
100millions.us,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
100percenthealth.us,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
blog.100soft.us,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0
shop.100soft.us,0,0,1,4,0,0,0,0,1,1,1,1,1,1,1,1,0
ww38.100wolves.us,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
100words.us,0,0,0,2,0,0,0,0,1,1,1,1,1,1,1,1,0
101.us,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0
101biz.us,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
101hosting.us,0,0,1,3,0,0,0,0,1,1,1,1,1,1,1,1,0
101mehndidesigns.us,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
101shop.us,0,0,0,3,0,0,0,0,1,1,1,1,1,1,1,1,0
101shop.us,0,0,0,3,0,0,0,0,1,1,1,1,1,1,1,1,0
1024.us,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
1024dy.us,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0
102ch.us,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
ww25.102ch.us,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0
1031.us,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
1031.us,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
106.us,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
ww12.106.us,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
1066.us,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
108studio.us,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0
1099.us,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
10deep.us,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
10der.us,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
10kilo.us,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
ww1.10kilo.us,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0
10kilos.us,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0
10lowkey.us,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0
10lowkey.us,0,0,1,2,0,0,0,0,1,1,1,1,1,1,1,1,0
10minuteemail.us,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
10n1.us,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0
10thcdvadems.us,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
10tier.us,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
11-11.us,0,0,0,2,0,0,0,1,1,1,1,1,1,1,1,1,0
110stories.us,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
111j.us,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0
111m.us,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
111n.us,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
1133academy.us,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
1133academy.us,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
1135ramrealtyservices.us,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
117bet.us,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
1188bishop.us,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0
11a63.us,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0
11betclub.us,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
11online.us,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
11online.us,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
adab.staging.11w.us,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
11wrkshop.us,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0
11yth.us,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0
ww38.120sofia.us,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
121.us,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
brokercoop.121.us,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
realestate.121.us,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0
solutions.121.us,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
1220.us,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
123-hp-com-ojp8710.us,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0
123-hp-com-ojp8720.us,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0
ww25.123-hp-com-ojp8720.us,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,0
ww38.123-hp-com-ojp8720.us,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0
123-hpsetup.us,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0
1232bid.us,0,0,1,2,0,0,0,0,1,1,1,1,1,1,1,1,0
123a.us,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0
imtoken.123a.us,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
itoken.123a.us,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
skype.123a.us,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
123cars.us,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0
ww38.123classifieds.us,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
123clean.us,0,0,0,2,0,0,0,0,1,1,1,1,1,1,1,1,0
123floor.us,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0
h.123g.us,0,0,1,3,0,0,0,0,1,1,1,1,1,1,1,1,0
h-source.123g.us,0,0,1,3,0,0,0,1,1,1,1,1,1,1,1,1,0
123goal.us,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
123hosting.us,0,0,0,2,0,0,0,0,1,1,1,1,1,1,1,1,0
123hp-com-setup.us,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,0
123hp-setup-com.us,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0
123hpco.us,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
ww25.123hpco.us,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0
123hpcom.us,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
123hpcom.us,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0
123hpcomsetup.us,0,0,0,2,0,0,0,0,1,1,1,1,1,1,1,1,0
123i.us,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
123j.us,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
123k.us,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
123k.us,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0
123kitchencabinet.us,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0
123moviesfox.us,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
123moviesfox.us,0,0,1,3,0,0,0,0,1,1,1,1,1,1,1,1,0
ww25.123moviesfox.us,0,0,1,3,0,0,0,0,1,1,1,1,1,1,1,1,0
123movieshubhd.us,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
123moviess.us,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
ww25.123moviess.us,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0
123moviesx.us,0,0,0,2,0,0,0,0,1,1,1,1,1,1,1,1,0
123movis.us,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
ww25.123movis.us,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0
ww38.123movis.us,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
123solarmovies.us,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
123u.us,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
gogoanime.123unblock.us,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
ww12.123unblock.us,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
123v.us,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
123v.us,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0
123w.us,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
123w.us,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
123x.us,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
123y.us,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
123z.us,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
123z.us,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0
12hours.us,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
12hrs.us,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
12hrs.us,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
12in12.us,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0
12m.us,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
12news.us,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
ww12.12news.us,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
12oclock.us,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
12on14.us,0,0,0,2,0,0,0,0,1,1,1,1,1,1,1,1,0
12on14.us,0,0,0,3,0,0,0,0,1,1,1,1,1,1,1,1,0
12r.us,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
12sm.us,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
12stones.us,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
12stones.us,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
12thcav.us,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0
ww25.12thcav.us,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
ww38.12thcav.us,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
12warrennyc.us,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
12warrenstreet.us,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
12z.us,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
130casino.us,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
1322hk.us,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
132slotcar.us,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
132slotcar.us,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0
oldsite.132slotcar.us,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0
1344hk.us,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
ww12.1344hk.us,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
ww7.1344hk.us,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
138klubpastibisa.us,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
138vip.us,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
13c.us,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
13colonies.us,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
13colonies.us,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0
13h7m.us,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0
13hkg.us,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0
13law.us,0,0,1,3,0,0,0,0,1,1,1,1,1,1,1,1,0
13stitches.us,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
13tolife.us,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
140pl.us,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
140pvi.us,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0
141pvi.us,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
141pvi.us,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
ww12.1453.us,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
14kgoldcharms.us,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
14kgoldcharms.us,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0
14thamendment.us,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
14thamendment.us,0,0,0,2,0,0,0,0,1,1,1,1,1,1,1,1,0
14west.us,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0
events-b.internalcomms.14west.us,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,0
jira.14west.us,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0
1510.us,0,0,0,2,0,0,0,0,1,1,1,1,1,1,1,1,0
1520.us,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
1546.us,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
1588kj.us,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
88.1588kj.us,0,0,0,4,0,0,0,0,1,1,1,1,1,1,1,1,0
15bodegas.us,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0
15dvt.us,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0
15west.us,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
1610.us,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
1616.us,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
1638fund.us,0,0,1,2,0,0,0,0,1,1,1,1,1,1,1,1,0
bbs.edison.1666.us,0,0,1,5,0,0,0,0,1,1,1,1,1,1,1,1,0
1678.us,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
1689.us,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0
abc5868.168cf.us:1888,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0
168goods.us,0,0,0,2,0,0,0,0,1,1,1,1,1,1,1,1,0
168kjw.us,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
11.168kjw.us,0,0,0,4,0,0,0,0,1,1,1,1,1,1,1,1,0
ww25.11.168kjw.us,0,0,1,4,0,0,0,0,1,1,1,1,1,1,1,1,0
ww25.168kjw.us,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0
16rpt.us,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0
