Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,DNS_Record,Web_Traffic,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards,Label
0--0---------------------------------------------------axelname.ru,0,0,1,1,0,0,0,1,1,1,1,1,0,0,1,0,0
0--0--------dra-dot-ru-premium-domains-and-services-----------0.ru,0,0,1,0,0,0,0,1,1,1,1,1,0,0,1,0,0
0--0-0.ru,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0
0-0-12.ru,0,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0
term.0-0-12.ru,0,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0
0-00.ru,0,0,0,2,0,0,0,1,1,1,1,1,0,0,1,0,0
15.0-01.ru,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0
2048.0-01.ru,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0
para.0-01.ru,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0
solitaire.0-01.ru,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0
tir.0-01.ru,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0
vesel.0-01.ru,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0
ways.0-01.ru,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0
0-02.ru,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0
0-1.ru,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
0-1.ru,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
0-10.ru,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,0
0-13.ru,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0
0-18.ru,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0
0-1a.ru,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0
0-3.ru,0,0,0,2,0,0,0,1,1,1,1,1,1,0,1,0,0
0-34.ru,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0
0-34.ru,0,0,0,2,0,0,0,1,1,1,1,1,0,0,1,0,0
0-360.ru,0,0,1,2,0,0,0,1,1,1,1,1,0,0,1,0,0
0-360.ru,0,0,1,3,0,0,0,1,1,1,1,1,0,0,1,0,0
cgng7e.0-3f.ru,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0
ehvevyavp.0-3f.ru,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0
gvjp.0-3f.ru,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0
lshp.0-3f.ru,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0
npm7cbjl0.0-3f.ru,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0
nyx9.0-3f.ru,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0
tat0ni.0-3f.ru,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0
tgxnvk1c.0-3f.ru,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0
tsd.0-3f.ru,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0
ximez8l1vc.0-3f.ru,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0
0-50.ru,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0
0-50.ru,0,0,0,2,0,0,0,1,0,1,1,1,1,1,1,1,0
med.0-50.ru,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0
0-55.ru,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0
0-63.ru,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0
0-7-7.ru,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0
0-71.ru,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0
0-77.ru,0,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0
0-9.ru,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0
0-b.ru,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0
0-cenka.ru,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0
4.0-chan.ru,0,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0
0-da.ru,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0
0-dolgov.ru,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0
0-g-0.ru,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0
0-inbox.ru,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0
0-infinity.ru,0,0,0,3,0,0,0,1,0,1,0,0,0,0,1,0,0
0-it.ru,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0
0-k.ru,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0
0-l.ru,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0
0-nds.ru,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,0
0-o-0.ru,0,0,1,3,0,0,0,1,1,1,1,1,0,0,1,0,0
0-p.ru,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0
0-p.ru,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0
0-procentov.ru,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0
0-sc.ru,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0
catalog.0-tel.ru,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0
0-ua.ru,0,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0
0-web.ru,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0
00-000.ru,0,0,0,2,0,0,0,1,1,1,1,1,0,0,1,0,0
00-01.ru,0,0,0,1,0,0,0,1,0,1,1,1,0,0,1,0,0
00-1.ru,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0
00-23.ru,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0
00-30.ru,0,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0
00-77.ru,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0
00-99.ru,0,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0
00-h.ru,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0
000-000.ru:443,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0
00000000.ru,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0
