Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,DNS_Record,Web_Traffic,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards,Label
4.0.org,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0
ellas2.0.org,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
0--0.org,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
0-0-2.org,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
0-4.org,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
0-4.org,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
0-500.org,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0
0-9.org,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0
0-9.org,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0
0-finanzierung.org,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
0-g.org,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0
0-love.org,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0
xn--ick3f9a758w.0-zone.org,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0
xn--r8j6gp61g2fj.0-zone.org,0,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0
xn--u8jwgoeqbi2c4996a.0-zone.org,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0
xn--y8jxa7a8hzapg.0-zone.org,0,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0
00.org,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
00-00-00.org,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
00-00-0000.org,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0
000.org,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
0000000.org,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
000024.org,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
00013ute.org,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
wap.0001n.org,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
0003.org,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
0006121.org,0,0,0,4,0,0,0,0,1,1,1,1,1,1,1,1,0
00086.org,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0
00087.org,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
00087.org,0,0,1,3,0,0,0,0,0,1,0,0,0,0,1,0,0
000888.org,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
000china.org,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
000fff.org,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
000fieldship.org,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
000kotohogi.org,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
000mhz.org,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
000paf.org,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
000univer-city.org,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0
000webhost.org,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0
m.000xnxx.org,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
movie.000xnxx.org,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
