Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,DNS_Record,Web_Traffic,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards,Label
4.0.org,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0
ellas2.0.org,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
0--0.org,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
0-0.org,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
0-0-2.org,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
0-00.org,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0
0-0world.org,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
0-3.org,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
ww25.0-3.org,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0
0-4.org,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
0-4.org,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
0-4d.org,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
0-4d.org,0,0,1,4,0,0,0,1,0,1,0,0,0,0,1,0,0
0-5.org,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
0-500.org,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
0-60.org,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
0-9.org,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0
0-finanzierung.org,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0
0-g.org,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0
0-group.org,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
0-sec.org,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
0-simplex.org,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0
0-viebration-love.org,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0
00.org,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
00-00-00.org,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
00-00-0000.org,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0
0000000.org,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
0000000000.org,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
00001.org,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
000024.org,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
img.000024.org,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
00013ute.org,0,0,1,5,0,0,0,0,0,1,0,1,0,0,1,0,0
0003.org,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
0008.org,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0
000888.org,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
000894.org,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
0009.org,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
000china.org,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
cafe.000china.org,0,0,0,3,0,0,0,0,0,1,0,0,0,0,1,0,0
000fff.org,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
000fieldship.org,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
