Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,DNS_Record,Web_Traffic,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards,Label
290tech.edu,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0,0
3ponts.edu,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
3ponts.edu,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
4cd.edu,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0
4cd.edu,0,0,0,2,0,0,0,0,0,1,0,0,1,1,1,1,0
esars.4cd.edu,0,0,1,4,0,0,0,0,0,1,0,0,0,0,1,0,0
intl.4cd.edu,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
m.4cd.edu,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
pg.4cd.edu,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
selfservice.4cd.edu,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
vsb.4cd.edu,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
webapps.4cd.edu,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0
aa.edu,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
access.aa.edu,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
techapps.aa.edu,0,0,0,3,0,0,0,0,0,1,0,1,0,0,1,0,0
webmail.aa.edu,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0
aaa.edu,0,0,1,3,0,0,0,0,0,1,0,0,0,0,1,0,0
aaart.edu,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
library.aaart.edu,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
aacc.edu,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
www2.aacc.edu,0,0,1,5,0,0,0,0,0,1,0,1,0,0,1,0,0
aacc.edu,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0,0
alumni.aacc.edu,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,0
careers.aacc.edu,0,0,1,2,0,0,0,0,0,1,0,1,0,0,1,0,0
catalog.aacc.edu,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0
cms.aacc.edu,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
legacy.abc-clio.com.ezproxy.aacc.edu,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0
search.ebscohost.com.ezproxy.aacc.edu,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0
login.ezproxy.aacc.edu,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
jstor.org.ezproxy.aacc.edu,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
libguides.aacc.edu,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
nest.aacc.edu,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
nest.aacc.edu:443,0,0,1,2,0,0,0,0,0,1,1,1,0,0,1,1,0
noncredit.aacc.edu,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
ola3.aacc.edu,0,0,1,4,0,0,0,0,0,1,0,1,0,0,1,0,0
ola4.aacc.edu,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0
webapps.aacc.edu,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,0
aacsb.edu,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
aacsb.edu,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,1,0
accredited.aacsb.edu,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
analyticshub.aacsb.edu,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
bestbizschools.aacsb.edu,0,0,1,6,0,0,0,0,0,1,0,0,1,1,1,1,0
bized.aacsb.edu,0,0,1,4,0,0,0,0,0,1,0,0,0,0,1,0,0
bridgetobusiness.aacsb.edu,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
careerconnection.aacsb.edu,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
communications.aacsb.edu,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
datadirect.aacsb.edu,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
enewsline.aacsb.edu,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
engage.aacsb.edu,0,0,0,3,0,0,0,0,0,1,0,0,0,0,1,0,0
maacba.aacsb.edu,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
mabda.aacsb.edu,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
metabase.aacsb.edu,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0
my.aacsb.edu,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
si-app.aacsb.edu,0,0,0,1,0,0,0,1,0,1,0,0,1,1,1,1,0
swbda.aacsb.edu,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
theexchange.aacsb.edu,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
aada.edu,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
aada.edu,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
aae.edu,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
aahctn.edu,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
aahctn.edu,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
aai.edu,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
discover.aai.edu,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0
aami.edu,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
aamu.edu,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
alpha1.aamu.edu,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0
gradapply.aamu.edu,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
libanswers.aamu.edu,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
libguides.aamu.edu,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
lsrfichewb.aamu.edu,0,0,0,2,0,0,0,0,0,1,0,1,0,0,1,0,0
lsrfichwrkfldev.aamu.edu,0,0,1,2,0,0,0,0,0,1,0,1,0,0,1,0,0
my.aamu.edu,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
spolnet.aamu.edu,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0
ssb1.aamu.edu,0,0,1,2,0,0,0,0,0,1,0,1,1,1,1,1,0
wx.aamu.edu,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
aast.edu,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
aast.edu,0,0,0,2,0,0,0,0,0,1,0,1,0,0,1,1,0
aastmtic.aast.edu,0,0,0,3,0,0,0,0,0,1,0,1,0,0,1,0,0
aastmtic2.aast.edu,0,0,0,2,0,0,0,0,0,1,0,1,1,1,1,1,0
