Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,DNS_Record,Web_Traffic,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards,Label
0-8.co,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0
0-8.co,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0
000webhost.co,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0
ww25.somar.tec.000webhost.co,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0
ww25.000webhost.co,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0
000webhostapp.co,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
00100.co,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0
ww12.00100.co,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
0011am.co,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
0038.co,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
00852tk.co,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
009009.co,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0
009betvn.co,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0
009casino.co,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,0
00nation.co,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
01.co,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
010.co,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
0110techland.co,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0
0123movie.co,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
0123movies.co,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
ww1.0123movies.co,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
0123movieshd.co,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
0123movieshub.co,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
01248.co,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0
01founders.co,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
learn.01founders.co,0,0,0,3,0,0,0,0,0,1,0,0,0,0,1,0,0
resources.01founders.co,0,0,1,2,0,0,0,0,0,1,0,0,0,0,1,0,0
01z.co,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
021.co,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
021567.co,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
021567.co,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0
0258.co,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
0313.co,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
037hdd.co,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
ww25.037hdd.co,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
037movie.co,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0
0464.co,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
0464.co,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
58.0464.co,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
04d.co,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
0554.co,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
0554.co,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
05854.co,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
0594.co,0,0,0,2,0,0,0,0,0,1,0,1,0,0,1,0,0
0594.co,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
0731.co,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
0778a.co,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
07chat.co,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0
07chat.co,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0
srvlogo.07d994.co,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0
07designstudio.co,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
07sketches.co,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
0800africa.co,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
090.co,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
0937.co,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
0am.co,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0
0d6.co,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
ww25.0d6.co,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
ww38.0d6.co,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
0e1.co,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
0e1.co:443,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0
0e1.co,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
0ff.co,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
0gomovies.co,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
0magnet.co,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
0mc.co,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
cryptogateway.0ms.co,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
luck.52.edri.0t0.co,0,0,0,2,0,0,0,0,0,1,0,1,1,1,1,1,0
0tt.co,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
0url.co,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
0work.co,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
ww16.0work.co,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
0x.co,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,0
0x1.co,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
0xblock.co,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
0xdev.co,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
0xmmo.co,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1.co,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1-800-medicos.co,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
1-800-the-tree.co,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0
1-finance.co,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
1-l.co,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
1-one.co,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0
ww17.1-one.co,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0
1-urlm.co,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0
1-xslot.co,0,0,0,0,0,0,1,1,0,1,0,1,1,0,1,0,0
10.co,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
100001.co,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
10000coders.co,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
10000hours.co,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
ww16.10000hours.co,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
1000buddhas.co,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1000hands.co,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
1000portraits.co,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1000portraits.co,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
10011mag.co,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
ww16.10011mag.co,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
jiaoyu.10019.co,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0
1001ebook.co,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0
