007studio.vn,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0
0101.vn,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0
0123.vn,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0
028.vn,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0
raovat.028.vn,0,0,1,2,0,0,0,0,1,0,1,1,0,0,1,0,0
03-x.vn,0,0,0,1,0,0,0,1,1,0,1,1,0,0,1,0,0
0375633685.vn,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0
nhapsdt.0375633685.vn,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0
ww16.nhapsdt.0375633685.vn,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0
ww16.0375633685.vn,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0
0511.vn,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0
camera.0511.vn,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0
muaban.0511.vn,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0
055.vn,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0
chothuexe.055.vn,0,0,1,3,0,0,0,0,1,0,1,1,0,0,1,0,0
068.vn,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0
0711.vn,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0
0711.vn,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0
081081.vn,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0
1001game.vn,0,0,0,2,0,0,0,0,1,0,1,1,0,0,1,0,0
1001show.vn,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0
1001show.vn,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0
100do.vn,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0
100do.vn,0,0,1,3,0,0,0,0,1,0,1,1,0,0,1,0,0
100like.vn,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0
100ty.vn,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0
101.vn,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0
101home.vn,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0
1022.vn,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0
102food.vn,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0
1068.vn,0,0,1,3,0,0,0,0,1,0,1,1,0,0,1,0,0
1080.vn,0,0,0,2,0,0,0,0,1,0,1,1,0,0,1,0,0
1080.vn,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0
1080lamdong.vn,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0
10cong.vn,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0
10education.vn,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0
10giay.vn,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0
10kiem.vn,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1,1,0
10namdangnho.vn,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1,1,0
10namgoute.vn,0,0,0,2,0,0,0,0,1,0,1,1,0,0,1,0,0
10q.vn,0,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0
10s.vn,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0
mh.10s.vn,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0
thietbixima.10s.vn,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0
10top.vn,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0
10up.vn,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0
1102style.vn,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0
111.vn,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0
113.vn,0,0,1,2,0,0,0,0,1,0,1,1,0,0,1,0,0
115vietnam.vn,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0
116truongchinh.vn,0,0,1,2,0,0,0,0,1,0,1,1,0,0,1,0,0
11s.vn,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0
123-zo.vn,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0
123456789.vn,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0
123456789.vn,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0
123angels.vn,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0
123b.vn,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0
123batdongsan.vn,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0
123choi.vn,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0
123chon.vn,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0
123chothue.vn,0,0,0,2,0,0,0,0,1,0,1,1,1,1,1,1,0
123click.vn,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1,1,0
123code.vn,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0
123coffee.vn,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0
123corp.vn,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0
bdsnamhung.demo.123corp.vn,0,0,1,2,0,0,0,0,1,0,1,1,0,0,1,0,0
donatech.demo.123corp.vn,0,0,1,2,0,0,0,0,1,0,1,1,0,0,1,0,0
thietbidien.demo.123corp.vn,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0
web.demo.123corp.vn,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0
thietbitinhoc.123corp.vn,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0
x.123corp.vn,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0
xongpha.123corp.vn,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0
123di.vn,0,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0
123event.vn,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0
123farm.vn,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0
123flower.vn,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0
123flower.vn,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0
