Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,DNS_Record,Web_Traffic,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards,Label
01010011.blog,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
02bwalking.blog,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
0509957884.blog,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
0926kkim.blog,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
0xb9.blog,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0
1000treks.blog,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
1000volt.blog,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0
1001persiannights.blog,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
1001places.blog,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
1001pneus.blog,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
100comentarios.blog,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
100geschichten.blog,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0
100meijo.blog,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
100music.blog,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
100oaks.blog,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
100radleyobjects.blog,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
100wordanime.blog,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
101reasons.blog,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
101waystogetarrested.blog,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0
103lybcd.blog,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
1080eyewitness.blog,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
10best.blog,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
10minutesforgod.blog,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
10starhd.blog,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
10xdeveloper.blog,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
1105.blog,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
1122.blog,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
365.1122.blog,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
11pm.blog,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0
123chill.blog,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
123mkv.blog,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
123movieshub.blog,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
123trade.blog,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
123win.blog,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
123winn.blog,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
12bet.blog,0,0,1,1,0,0,0,0,0,1,0,1,1,1,1,1,0
12notes.blog,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
lll.12notes.blog,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
12ounce.blog,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
1337x.blog,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
ww16.1337x.blog,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
138boba.blog,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
140lunareclipse.blog,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0
146parks.blog,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
15926.blog,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
16daysblogathon.blog,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
1712.blog,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
1754.blog,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
18thbattalioncef.blog,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
197dienos.blog,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
1980s.blog,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
1980s-romania.blog,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0
lp.19studio.blog,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
19topper.blog,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
1aisite.blog,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
1ambda.blog,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
1arthouse.blog,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
1btc.blog,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1chan.blog,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
1derwoman.blog,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
1life.blog,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
1lifeonearth.blog,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
ww25.1lifeonearth.blog,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
1ovescience.blog,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0
1pack.blog,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0
1papel.blog,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
1porno.blog,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
1q43.blog,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1secondeveryday.blog,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
1st-net.blog,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0
sk0110.1st-net.blog,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0
t0711.1st-net.blog,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0
1step1day.blog,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
1stepatatimemindbodyspirit.blog,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
1tasu1.blog,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
1up-life.blog,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
1vin.blog,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1wildandpreciouslife.blog,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
1win-1win.blog,0,0,0,3,0,0,0,1,0,1,0,0,0,0,1,0,0
1win1.blog,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1x-bet.blog,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0
20000lieuessurlaterre.blog,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
80.2000a.blog,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
2000battute.blog,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
200words.blog,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
21gram.blog,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0
bitcoin.21milbtc.blog,0,0,1,2,0,0,0,0,0,1,0,1,1,1,1,1,0
21unity.blog,0,0,0,2,0,0,0,0,0,1,0,0,1,1,1,1,0
22bet.blog:443,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0
22fashion.blog,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
22h22.blog,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
23grad.blog,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
24hdrawinglab.blog,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
25x7.blog,0,0,0,4,0,0,0,0,0,1,0,0,0,0,1,0,0
26bet.blog,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0
2933.blog,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0
2am.blog,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
2bcreative.blog,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
2by22.blog,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0
masterclass.2by22.blog,0,0,1,4,0,0,0,0,0,1,0,0,0,0,1,0,0
2cat.blog,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0
2cjc.blog,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
2doms1sub.blog,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0
2guysdrinkingcoffee.blog,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
2inspire.blog,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
2kinderkuechebadbalkon.blog,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
2ndhandfurniture.blog,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0
2ndmiddleage.blog,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
2rak.blog,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
2thepoint.blog,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
2timothytrump.blog,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
2travel.blog,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
2uplife.blog,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
30daysofautism.blog,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
30for30.blog,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
30km-s.blog,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0
333666.blog,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
33win.blog,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
35hunter.blog,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
360-degrees.blog,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0
360degrees.blog,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
365ninja.blog,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
365xr.blog,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
36x25.blog,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
38by.blog,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
39ranbo.blog,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
3amcreatives.blog,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
