,model,accuracy,precision,recall,f1-score
0,DecisionTree,0.9108315098468271,0.9402013025458852,0.875896304467733,0.9069103369503142
1,RandomForest,0.9094638949671773,0.9338407494145199,0.8797573083287369,0.9059926157341665
2,XGBoost,0.9234135667396062,0.9367521367521368,0.906784335355764,0.92152466367713
3,SVM,0.9018052516411379,0.9322235434007135,0.8648648648648649,0.8972818311874107
4,MLP,0.9228665207877462,0.9351904491188175,0.9073359073359073,0.9210526315789475
